"frac.eff","CI","Figure"
0.01,1.09330199076205,"Figure 3"
0.0351282051282051,1.06974127075185,"Figure 3"
0.0602564102564103,1.06011353264414,"Figure 3"
0.0853846153846154,1.05398175750767,"Figure 3"
0.110512820512821,1.04945356243828,"Figure 3"
0.135641025641026,1.04584136010341,"Figure 3"
0.160769230769231,1.04281841629546,"Figure 3"
0.185897435897436,1.04020401262235,"Figure 3"
0.211025641025641,1.03788772716788,"Figure 3"
0.236153846153846,1.0357971149498,"Figure 3"
0.261282051282051,1.03388201216207,"Figure 3"
0.286410256410256,1.03210616289788,"Figure 3"
0.311538461538462,1.03044241886129,"Figure 3"
0.336666666666667,1.02886982492877,"Figure 3"
0.361794871794872,1.02737176389926,"Figure 3"
0.386923076923077,1.02593472671585,"Figure 3"
0.412051282051282,1.02454746735321,"Figure 3"
0.437179487179487,1.02320040204528,"Figure 3"
0.462307692307692,1.02188516747166,"Figure 3"
0.487435897435897,1.02059428376512,"Figure 3"
0.512564102564103,1.01932088647967,"Figure 3"
0.537692307692308,1.01805850248379,"Figure 3"
0.562820512820513,1.01680085102384,"Figure 3"
0.587948717948718,1.01554165446799,"Figure 3"
0.613076923076923,1.01427444421145,"Figure 3"
0.638205128205128,1.01299234606105,"Figure 3"
0.663333333333333,1.01168782576298,"Figure 3"
0.688461538461538,1.01035236815665,"Figure 3"
0.713589743589744,1.00897605058381,"Figure 3"
0.738717948717949,1.00754694839559,"Figure 3"
0.763846153846154,1.00605026908437,"Figure 3"
0.788974358974359,1.00446703355696,"Figure 3"
0.814102564102564,1.00277196757502,"Figure 3"
0.839230769230769,1.00092993454594,"Figure 3"
0.864358974358974,0.998889469034254,"Figure 3"
0.889487179487179,0.9965699649828,"Figure 3"
0.914615384615385,0.993833026650021,"Figure 3"
0.93974358974359,0.990405921138338,"Figure 3"
0.964871794871795,0.985605872419844,"Figure 3"
0.99,0.976338587128758,"Figure 3"
0.01,1.59655654981931,"Figure 5"
0.0351282051282051,1.17244501678317,"Figure 5"
0.0602564102564103,1.02375808362028,"Figure 5"
0.0853846153846154,0.935858287354489,"Figure 5"
0.110512820512821,0.874181354159769,"Figure 5"
0.135641025641026,0.826884717048502,"Figure 5"
0.160769230769231,0.788567061304093,"Figure 5"
0.185897435897436,0.756335101660061,"Figure 5"
0.211025641025641,0.728467514779073,"Figure 5"
0.236153846153846,0.703860924870743,"Figure 5"
0.261282051282051,0.68176722877792,"Figure 5"
0.286410256410256,0.66165632913532,"Figure 5"
0.311538461538462,0.643138869571293,"Figure 5"
0.336666666666667,0.625920104486621,"Figure 5"
0.361794871794872,0.609770998298302,"Figure 5"
0.386923076923077,0.594509370589378,"Figure 5"
0.412051282051282,0.579987156023896,"Figure 5"
0.437179487179487,0.566081520600468,"Figure 5"
0.462307692307692,0.552688480861373,"Figure 5"
0.487435897435897,0.539718183494471,"Figure 5"
0.512564102564103,0.527091301125734,"Figure 5"
0.537692307692308,0.514736178743912,"Figure 5"
0.562820512820513,0.502586473232423,"Figure 5"
0.587948717948718,0.490579092469737,"Figure 5"
0.613076923076923,0.478652274556162,"Figure 5"
0.638205128205128,0.466743658533156,"Figure 5"
0.663333333333333,0.454788186492775,"Figure 5"
0.688461538461538,0.442715638590976,"Figure 5"
0.713589743589744,0.430447524586479,"Figure 5"
0.738717948717949,0.41789291150465,"Figure 5"
0.763846153846154,0.404942502144881,"Figure 5"
0.788974358974359,0.39145977740968,"Figure 5"
0.814102564102564,0.377267016707309,"Figure 5"
0.839230769230769,0.362121886313065,"Figure 5"
0.864358974358974,0.345675365430079,"Figure 5"
0.889487179487179,0.327389055002215,"Figure 5"
0.914615384615385,0.306351734789493,"Figure 5"
0.93974358974359,0.280793173759209,"Figure 5"
0.964871794871795,0.246346583405165,"Figure 5"
0.99,0.183447447119897,"Figure 5"
