# Table 1 from Chou and Talalay Eur J Biochem 1981
# Table IV from Chou and Talalay J Biol Chem 1977
# Version 0.2, 29 August 2016 by Tjeerd Dijkstra
Conc.ADP	Conc.ADPr	FracInhib
0.00	0.00	1.000
0.50	0.00	0.776
1.00	0.00	0.629
1.50	0.00	0.532
2.00	0.00	0.445
2.50	0.00	0.395
0.00	95.0	0.611
0.50	95.0	0.528
1.00	95.0	0.446
1.50	95.0	0.413
2.00	95.0	0.373
2.50	95.0	0.324
0.00	190.0	0.465
0.50	190.0	0.415
1.00	190.0	0.363
1.50	190.0	0.319
2.00	190.0	0.288
2.50	190.0	0.273
0.00	285.0	0.361
0.50	285.0	0.330
1.00	285.0	0.303
1.50	285.0	0.266
2.00	285.0	0.252
2.50	285.0	0.233
0.00	380.0	0.293
0.50	380.0	0.265
1.00	380.0	0.254
1.50	380.0	0.238
2.00	380.0	0.219
2.50	380.0	0.204
0.00	475.0	0.252
0.50	475.0	0.237
1.00	475.0	0.216
1.50	475.0	0.201
2.00	475.0	0.198
2.50	475.0	0.183
