# Table 2 from Chou and Talalay Eur J Biochem 1981
# Table V from Chou and Talalay J Biol Chem 1977
# changed ADP = 1, Phen = 0 response from 0.324 to 0.600
# Version 0.2, 29 August 2016 by Tjeerd Dijkstra
Conc.ADP	Conc.Phen	FracInhib
0.00	0.00	1.000
0.50	0.00	0.825
1.00	0.00	0.600
1.50	0.00	0.508
2.00	0.00	0.458
2.50	0.00	0.402
0.00	8.70	0.868
0.50	8.70	0.493
1.00	8.70	0.324
1.50	8.70	0.258
2.00	8.70	0.217
2.50	8.70	0.183
0.00	17.4	0.733
0.50	17.4	0.367
1.00	17.4	0.231
1.50	17.4	0.177
2.00	17.4	0.135
2.50	17.4	0.117
0.00	26.1	0.589
0.50	26.1	0.262
1.00	26.1	0.171
1.50	26.1	0.128
2.00	26.1	0.100
2.50	26.1	0.086
0.00	34.8	0.524
0.50	34.8	0.223
1.00	34.8	0.142
1.50	34.8	0.105
2.00	34.8	0.081
2.50	34.8	0.066
0.00	43.5	0.452
0.50	43.5	0.184
1.00	43.5	0.118
1.50	43.5	0.085
2.00	43.5	0.068
2.50	43.5	0.056
