"DRUG_A","DRUG_B","E","GROUP"
0,0,0,"LA - bidirectional synergy"
0,10,0.00159744408555314,"LA - bidirectional synergy"
0,20,0.0249609983500736,"LA - bidirectional synergy"
0,30,0.114730877735334,"LA - bidirectional synergy"
0,40,0.29057888546383,"LA - bidirectional synergy"
0,50,0.50000000196873,"LA - bidirectional synergy"
0,60,0.674648617451003,"LA - bidirectional synergy"
0,70,0.793456708937181,"LA - bidirectional synergy"
0,80,0.867612794938031,"LA - bidirectional synergy"
0,90,0.913025321220643,"LA - bidirectional synergy"
0,100,0.94117646739547,"LA - bidirectional synergy"
10,0,0.00159744408555314,"LA - bidirectional synergy"
10,10,0.0775466696630416,"LA - bidirectional synergy"
10,20,0.366141820850009,"LA - bidirectional synergy"
10,30,0.675050411928759,"LA - bidirectional synergy"
10,40,0.844026710030896,"LA - bidirectional synergy"
10,50,0.920738086347076,"LA - bidirectional synergy"
10,60,0.956370489257664,"LA - bidirectional synergy"
10,70,0.974178739583563,"LA - bidirectional synergy"
10,80,0.98376898152634,"LA - bidirectional synergy"
10,90,0.989281682338612,"LA - bidirectional synergy"
10,100,0.992629351388076,"LA - bidirectional synergy"
20,0,0.0249609983500736,"LA - bidirectional synergy"
20,10,0.366141820850009,"LA - bidirectional synergy"
20,20,0.759643918750522,"LA - bidirectional synergy"
20,30,0.910460764410859,"LA - bidirectional synergy"
20,40,0.961126754918768,"LA - bidirectional synergy"
20,50,0.980608091535878,"LA - bidirectional synergy"
20,60,0.989243645272744,"LA - bidirectional synergy"
20,70,0.993534510292386,"LA - bidirectional synergy"
20,80,0.995864934536887,"LA - bidirectional synergy"
20,90,0.997222457908402,"LA - bidirectional synergy"
20,100,0.998058957971781,"LA - bidirectional synergy"
30,0,0.114730877735334,"LA - bidirectional synergy"
30,10,0.675050411928759,"LA - bidirectional synergy"
30,20,0.910460764410859,"LA - bidirectional synergy"
30,30,0.968623012390235,"LA - bidirectional synergy"
30,40,0.986362529107181,"LA - bidirectional synergy"
30,50,0.993104908525634,"LA - bidirectional synergy"
30,60,0.996117874593147,"LA - bidirectional synergy"
30,70,0.997633541303859,"LA - bidirectional synergy"
30,80,0.99846716344467,"LA - bidirectional synergy"
30,90,0.998958530016486,"LA - bidirectional synergy"
30,100,0.999264608275124,"LA - bidirectional synergy"
40,0,0.29057888546383,"LA - bidirectional synergy"
40,10,0.844026710030896,"LA - bidirectional synergy"
40,20,0.961126754918768,"LA - bidirectional synergy"
40,30,0.986362529107181,"LA - bidirectional synergy"
40,40,0.993990466340346,"LA - bidirectional synergy"
40,50,0.99691942007265,"LA - bidirectional synergy"
40,60,0.998244429212287,"LA - bidirectional synergy"
40,70,0.998918571305463,"LA - bidirectional synergy"
40,80,0.999293059176522,"LA - bidirectional synergy"
40,90,0.999515766220758,"LA - bidirectional synergy"
40,100,0.999655581818465,"LA - bidirectional synergy"
50,0,0.50000000196873,"LA - bidirectional synergy"
50,10,0.920738086347076,"LA - bidirectional synergy"
50,20,0.980608091535878,"LA - bidirectional synergy"
50,30,0.993104908525634,"LA - bidirectional synergy"
50,40,0.99691942007265,"LA - bidirectional synergy"
50,50,0.998402561231647,"LA - bidirectional synergy"
50,60,0.999080894944114,"LA - bidirectional synergy"
50,70,0.999429211316452,"LA - bidirectional synergy"
50,80,0.999624251044269,"LA - bidirectional synergy"
50,90,0.999741016195006,"LA - bidirectional synergy"
50,100,0.999814773494691,"LA - bidirectional synergy"
60,0,0.674648617451003,"LA - bidirectional synergy"
60,10,0.956370489257664,"LA - bidirectional synergy"
60,20,0.989243645272744,"LA - bidirectional synergy"
60,30,0.996117874593147,"LA - bidirectional synergy"
60,40,0.998244429212287,"LA - bidirectional synergy"
60,50,0.999080894944114,"LA - bidirectional synergy"
60,60,0.99946702857985,"LA - bidirectional synergy"
60,70,0.999666845910799,"LA - bidirectional synergy"
60,80,0.999779444147778,"LA - bidirectional synergy"
60,90,0.999847220280379,"LA - bidirectional synergy"
60,100,0.999890236078943,"LA - bidirectional synergy"
70,0,0.793456708937181,"LA - bidirectional synergy"
70,10,0.974178739583563,"LA - bidirectional synergy"
70,20,0.993534510292386,"LA - bidirectional synergy"
70,30,0.997633541303859,"LA - bidirectional synergy"
70,40,0.998918571305463,"LA - bidirectional synergy"
70,50,0.999429211316452,"LA - bidirectional synergy"
70,60,0.999666845910799,"LA - bidirectional synergy"
70,70,0.999790591081029,"LA - bidirectional synergy"
70,80,0.999860705362743,"LA - bidirectional synergy"
70,90,0.999903109384521,"LA - bidirectional synergy"
70,100,0.999930129919304,"LA - bidirectional synergy"
80,0,0.867612794938031,"LA - bidirectional synergy"
80,10,0.98376898152634,"LA - bidirectional synergy"
80,20,0.995864934536887,"LA - bidirectional synergy"
80,30,0.99846716344467,"LA - bidirectional synergy"
80,40,0.999293059176522,"LA - bidirectional synergy"
80,50,0.999624251044269,"LA - bidirectional synergy"
80,60,0.999779444147778,"LA - bidirectional synergy"
80,70,0.999860705362743,"LA - bidirectional synergy"
80,80,0.999906959787629,"LA - bidirectional synergy"
80,90,0.999935046721472,"LA - bidirectional synergy"
80,100,0.999953012770282,"LA - bidirectional synergy"
90,0,0.913025321220643,"LA - bidirectional synergy"
90,10,0.989281682338612,"LA - bidirectional synergy"
90,20,0.997222457908402,"LA - bidirectional synergy"
90,30,0.998958530016486,"LA - bidirectional synergy"
90,40,0.999515766220758,"LA - bidirectional synergy"
90,50,0.999741016195006,"LA - bidirectional synergy"
90,60,0.999847220280379,"LA - bidirectional synergy"
90,70,0.999903109384521,"LA - bidirectional synergy"
90,80,0.999935046721472,"LA - bidirectional synergy"
90,90,0.99995451160319,"LA - bidirectional synergy"
90,100,0.999966995385262,"LA - bidirectional synergy"
100,0,0.94117646739547,"LA - bidirectional synergy"
100,10,0.992629351388076,"LA - bidirectional synergy"
100,20,0.998058957971781,"LA - bidirectional synergy"
