Conc.ADP;Conc.Phen;FracInhib
0.00;0.00;1000
0.50;0.00;825
1.00;0.00;600
1.50;0.00;508
2.00;0.00;458
2.50;0.00;402
0.00;8.70;868
0.50;8.70;493
1.00;8.70;324
1.50;8.70;258
2.00;8.70;217
2.50;8.70;183
0.00;17.4;733
0.50;17.4;367
1.00;17.4;231
1.50;17.4;177
2.00;17.4;135
2.50;17.4;117
0.00;26.1;589
0.50;26.1;262
1.00;26.1;171
1.50;26.1;128
2.00;26.1;100
2.50;26.1;86
0.00;34.8;524
0.50;34.8;223
1.00;34.8;142
1.50;34.8;105
2.00;34.8;81
2.50;34.8;66
0.00;43.5;452
0.50;43.5;184
1.00;43.5;118
1.50;43.5;85
2.00;43.5;68
2.50;43.5;56
